gameId,gameDuration,goldDiff,expDiff,champLevelDiff,isFirstTower,isFirstBlood,killedFireDrake,killedWaterDrake,killedAirDrake,killedEarthDrake,killedElderDrake,lostFireDrake,lostWaterDrake,lostAirDrake,lostEarthDrake,lostElderDrake,killedBaronNashor,lostBaronNashor,killedRiftHerald,lostRiftHerald,destroyedTopInhibitor,destroyedMidInhibitor,destroyedBotInhibitor,lostTopInhibitor,lostMidInhibitor,lostBotInhibitor,destroyedTopNexusTurret,destroyedBotNexusTurret,lostTopNexusTurret,lostBotNexusTurret,destroyedTopBaseTurret,destroyedMidBaseTurret,destroyedBotBaseTurret,lostTopBaseTurret,lostMidBaseTurret,lostBotBaseTurret,destroyedTopInnerTurret,destroyedMidInnerTurret,destroyedBotInnerTurret,lostTopInnerTurret,lostMidInnerTurret,lostBotInnerTurret,destroyedTopOuterTurret,destroyedMidOuterTurret,destroyedBotOuterTurret,lostTopOuterTurret,lostMidOuterTurret,lostBotOuterTurret,kills,deaths,assists,wardsPlaced,wardsDestroyed,wardsLost
4545115950,1270000,-12136,-7016,-1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,11,22,18,126,9,9
4546905327,1561000,-11562,-10969,-1.6,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,16,24,18,55,17,28
4538951364,1970000,9783,4023,0.6,1,1,2,0,1,0,0,1,1,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,33,23,47,80,38,14
4530863362,1688000,-7587,-5258,-0.6,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,1,28,39,38,47,6,15
4544391171,2116000,-4608,-7702,-1.2,1,1,0,0,1,1,0,0,1,0,3,0,0,2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,1,1,28,40,53,71,17,18
4414698636,1703000,56,-693,-0.2,1,1,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,23,28,38,99,25,29
4513263834,1497000,229,-1958,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,30,20,49,48,50,12
4539507177,946000,13255,10023,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,27,6,26,31,5,3
4546875264,1827000,8949,12981,1.6,1,1,2,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,37,30,57,46,19,8
4534629528,1911000,3197,6861,0.6,1,1,0,0,0,3,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,38,33,77,84,19,20
4536641622,1879000,6193,10260,1,1,1,1,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,41,28,47,58,18,17
4408944556,1988000,3880,-1682,0,1,1,0,1,0,1,0,1,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,42,37,68,76,14,17
4540294851,1253000,-1621,-5006,-0.4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,16,23,16,36,14,9
4546108606,2384000,-5345,992,-0.4,1,1,1,0,1,0,0,3,0,0,1,0,0,2,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,37,45,66,70,29,25
4477378304,1539000,-14964,-12992,-1.2,1,1,0,0,0,0,0,0,2,1,1,0,0,1,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,12,37,25,72,13,23
4543532070,1621000,9053,9682,1.2,1,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,28,19,29,262,15,14
4537620494,1965000,2785,3013,0.4,1,1,2,1,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,34,23,32,109,29,24
